brand,model,category,lifespan_km
"generic","1-speed","chain",2000
"generic","10-speed","chain",2000
"generic","10-speed 11-23T","cassette",10000
"generic","10-speed 11-25T","cassette",10000
"generic","10-speed 11-26T","cassette",10000
"generic","10-speed 11-28T","cassette",10000
"generic","10-speed 11-30T","cassette",10000
"generic","10-speed 11-32T","cassette",10000
"generic","10-speed 11-34T","cassette",10000
"generic","10-speed 11-36T","cassette",10000
"generic","10-speed 11-42T","cassette",10000
"generic","10-speed 12-23T","cassette",10000
"generic","10-speed 12-25T","cassette",10000
"generic","10-speed 12-26T","cassette",10000
"generic","10-speed 12-27T","cassette",10000
"generic","10-speed 12-28T","cassette",10000
"generic","10-speed 12-30T","cassette",10000
"generic","10-speed 12-32T","cassette",10000
"generic","10-speed 12-36T","cassette",10000
"generic","10-speed 28T","chainrings",10000
"generic","10-speed 30T","chainrings",10000
"generic","10-speed 32T","chainrings",10000
"generic","10-speed 34T","chainrings",10000
"generic","10-speed 36T","chainrings",10000
"generic","10-speed 38-28T","chainrings",10000
"generic","10-speed 42-30-22T","chainrings",10000
"generic","10-speed 42T","chainrings",10000
"generic","10-speed 44-32-22T","chainrings",10000
"generic","10-speed 46-30T","chainrings",10000
"generic","10-speed 46T","chainrings",10000
"generic","10-speed 48-32T","chainrings",10000
"generic","10-speed 50-34T","chainrings",10000
"generic","10-speed 53-39T","chainrings",10000
"generic","10-speed 55-42T","chainrings",10000
"generic","100mm 26""","fork",
"generic","100mm 27.5""","fork",
"generic","100mm 29""","fork",
"generic","11-speed","chain",2000
"generic","11-speed 11-25T","cassette",10000
"generic","11-speed 11-26T","cassette",10000
"generic","11-speed 11-28T","cassette",10000
"generic","11-speed 11-30T","cassette",10000
"generic","11-speed 11-32T","cassette",10000
"generic","11-speed 11-34T","cassette",10000
"generic","11-speed 11-36T","cassette",10000
"generic","11-speed 11-40T","cassette",10000
"generic","11-speed 11-42T","cassette",10000
"generic","11-speed 11-46T","cassette",10000
"generic","11-speed 12-25T","cassette",10000
"generic","11-speed 12-28T","cassette",10000
"generic","11-speed 14-28T","cassette",10000
"generic","11-speed 28T","chainrings",10000
"generic","11-speed 30T","chainrings",10000
"generic","11-speed 32T","chainrings",10000
"generic","11-speed 34T","chainrings",10000
"generic","11-speed 36T","chainrings",10000
"generic","11-speed 42T","chainrings",10000
"generic","11-speed 46-30T","chainrings",10000
"generic","11-speed 46T","chainrings",10000
"generic","11-speed 48-32T","chainrings",10000
"generic","11-speed 50-34T","chainrings",10000
"generic","11-speed 55-42T","chainrings",10000
"generic","12-speed","chain",2000
"generic","12-speed 10-26T","cassette",10000
"generic","12-speed 10-28T","cassette",10000
"generic","12-speed 10-33T","cassette",10000
"generic","12-speed 10-50T","cassette",10000
"generic","12-speed 11-50T","cassette",10000
"generic","12-speed 28T","chainrings",10000
"generic","12-speed 30T","chainrings",10000
